service_name,service_slug,plane_domain,product_role,internal_or_external,runtime_deployment_required,deployed_preview,running_preview,surfaced_shell,surfaced_mobile,bff_downstream,keycloak_trust,required_roles,required_context,main_routes,main_apis,events_topics,dependencies,health_endpoint,test_scenarios_required,current_maturity,current_blockers,required_fixes,preview_testability_dod
Landela,landela-adapter-service,integration/interoperability,Landela Adapter canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8092,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Learning,learning-service,experience/workflow-orchestration,Learning canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service; multiple-domain-services-via-bff,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Lims,lims,integration/integration,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Impilo Live,live-service,experience/live-events-broadcast,live events and webinars; live event registrations; live event attendance; live event interactions; live event certificates; live event analytics snapshots,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8380,event_outbox per service doctrine,vito-service; varapi-service; tuso-service; tshepo-authz-service; learning-service; madi-service; notification-service; ,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Llm Orchestration,llm-orchestration-service,integration/platform-ops,Llm Orchestration canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Madi,madi-service,clinical/platform-ops,Madi canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Minio,minio,integration/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Mosip,mosip,trust_governance/assurance,external_dependency,external dependency (contract only),NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,external contract reference,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Msika Apps,msika-apps-service,enterprise/marketplace,Msika Apps canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Msika Flow Ops,msika-flow-ops,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Msika Flow Portal,msika-flow-portal,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Msika Flow,msika-flow-service,enterprise/marketplace,Msika Flow canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8100,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Msika Flow Vendor,msika-flow-vendor,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
MSIKA,msika-service,enterprise/marketplace,Msika canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8086,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Msika Web,msika-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Mushe Wallet,mushe-wallet-service,enterprise/finance,Mushe Wallet canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Mushex Finance Console,mushex-finance-console,experience/ui-workspace,frontend_app,internal vNext,NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,unknown,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Mushex Ops Console,mushex-ops-console,experience/ui-workspace,frontend_app,internal vNext,NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,unknown,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Mushex Payer Portal,mushex-payer-portal,experience/ui-workspace,frontend_app,internal vNext,NO (doctrine_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,unknown,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
MUSheX,mushex-service,enterprise/finance,Mushex canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8102,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Mvumo,mvumo-service,trust/identity-governance,Mvumo canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
National Data Repository,national-data-repository-service,data/intelligence,National Data Repository canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8152,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Ndila,ndila-service,integration/interoperability,"canonical geospatial location registry; routing, ETA, and distance matrix orchestration; geofencing and catchment boundary operations; tracking asset telemetry normalization; spatial search and geospatial intelligence context",internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service; tuso-service; indawo-service; varapi-service; surveillance-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
NDR,ndr-service,data/intelligence,Ndr canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8232,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Nhume,nhume-service,integration/interoperability,dispatch request and assignment lifecycle; courier and fleet operational registry; last-mile tracking and proof-of-delivery telemetry; delivery chain-of-custody and exception workflow,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service; ndila-service; vito-service; varapi-service; tuso-service; indawo-service; msika-service; mushex-s,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Notification,notification-service,integration/interoperability,Notification canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8200,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Observability,observability-service,integration/platform-ops,Observability canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8211,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Offline Edge,offline-edge-service,integration/platform-ops,Offline Edge canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8360,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Offline Sdk,offline-sdk,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Offline Sync,offline-sync-service,integration/interoperability,Offline Sync canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8095,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
One Ui Shell,one-ui-shell,experience/ui-workspace,frontend_app,internal vNext,YES,NO,NO,True,N/A,N/A,browser client,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Opa,opa,trust/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Ops Console,ops-console,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Ops Docs,ops-docs,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Ops Instrumentation,ops-instrumentation,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
OROS,oros-service,clinical/care-delivery,Oros canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8089,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Oros Web,oros-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
PACS Adapter,pacs-adapter-service,clinical/care-delivery,Pacs Adapter canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8113,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
PCT,pct-service,clinical/care-delivery,Pct canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8088,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Pct Web,pct-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Pharmacy eLMIS,pharmacy-elmis-adapter,clinical/care-delivery,Pharmacy Elmis Adapter canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8099,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Pharmacy,pharmacy-service,clinical/care-delivery,Pharmacy canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8096,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Pharmacy Web,pharmacy-web,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Portal,portal,experience/ui-workspace,frontend_app,internal vNext,NO (build_validate_only),N/A,N/A,absorbed into one-ui-shell,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Postgres,postgres,integration/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Procurement,procurement-service,enterprise/enterprise-resource,Procurement canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Product Registry,product-registry-service,registry/registry-spine,Product Registry canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8097,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Provider App,provider-app,experience/mobile,mobile_app,internal vNext,NO (build_validate_only),N/A,N/A,mobile artifact lane,YES (mobile app),N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Redis,redis,integration/infrastructure,infrastructure,internal vNext,YES,NO,NO,False,N/A,N/A,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,/actuator/health,UAT workbook row required per service,blocked: not deployed,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Referral,referral-service,integration/platform-ops,Referral canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Reporting,reporting-service,data/intelligence,Reporting canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8176,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Rtc Gateway,rtc-gateway-service,integration/platform-ops,Rtc Gateway canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8196,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Rules,rules-service,clinical/clinical-knowledge,Rules canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8241,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Scheduling,scheduling-service,clinical/care-delivery,Scheduling canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port None,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Schema Registry,schema-registry-service,integration/platform-ops,Schema Registry canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8371,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Search,search-service,data/intelligence,Search canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8230,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
Security Baseline,security-baseline,integration/shared-library,library,internal vNext,NO (build_validate_only),N/A,N/A,False,N/A,N/A,N/A,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port N/A,event_outbox per service doctrine,,N/A,UAT workbook row required per service,supporting component,none,lower walkthrough priority only,logged-in click-flow + API-backed content + role/context test
Security Hardening,security-hardening-service,integration/platform-ops,Security Hardening canonical records,internal vNext,YES,YES,YES,True,N/A,YES,bearer/API via Envoy+TSHEPO,role-aware per route — see shell app-registry,Health ID; Provider ID; Facility; Workspace; Purpose of Use,see FRONTEND_ROUTE_INVENTORY / app-registry,contracts/openapi; port 8221,event_outbox per service doctrine,tshepo-authz-service,/actuator/health,UAT workbook row required per service,running,frontend wiring partial/unknown,frontend wiring partial/unknown,logged-in click-flow + API-backed content + role/context test
