journeyId,journeyName,initiatingActor,respondingActor,transactionObject,context,entryPoint,startState,steps,backendServices,apis,frontendRoutes,mobileScreens,dataReadWritten,eventsEmitted,trustSecurityChecks,auditRequirements,completionState,currentImplementationStatus,missingBackendWork,missingFrontendMobileWork,relatedJourneys,productOwnerAcceptanceTest,coreTransactionType,lifecycleStage,completionClassification
"reporting-dashboard","Data / Report / Dashboard Journey","data-analyst","reporting-service","Report run / dashboard view","operations or public health intelligence","/reports","INITIATED","select report → run → view → export → audit","reporting-service; data-warehouse-service; surveillance-service; experience-bff","/internal/v1/reports/*, /internal/v1/intelligence-plane/*","/data-intelligence; /data-intelligence/audit; /data-intelligence/integration; /data-intelligence/pipelines; /data-intelligence/quality; /data-intelligence/reports; /monitoring; /monitoring/alerts; /monitoring/care-plans; /monitoring/devices; /monitoring/provider-dashboard; /monitoring/readings; /reports; /reports/[id]; /reports/clinical; /reports/custom; /reports/facility; /reports/operational","apps/mobile/provider-app/src/screens/madi/MadiReactionReportScreen.tsx; apps/mobile/provider-app/src/screens/provider/OpsReportsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ReportsScreen.tsx","report runs; aggregates","analytics.reporting.aggregate","reporting RBAC; de-identification","report access audit","COMPLETED","partial","NDR/warehouse depth","","public-health-outreach; surveillance-outbreak","Analyst runs report with correct scope and audit","ADMINISTRATIVE_HEALTH","REPORTING_ANALYTICS_AUDIT","transaction-complete"
"registry-administration","Registry Administration","registry-administrator","vito-service","Registry record governance","national registry ops","/registry","INITIATED","search → verify → reconcile → issue → audit","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","/operations/vito; /operations/vito/biometrics; /operations/vito/cards; /operations/vito/cards/pickup; /operations/vito/dedup; /operations/vito/internal-search; /operations/vito/issuance; /operations/vito/issuance/[requestId]; /operations/vito/match; /operations/vito/patient-shares; /operations/vito/print; /operations/vito/recovery; /operations/vito/registration; /operations/vito/registration/new; /operations/vito/registry-admin; /registry; /registry-admin; /registry/clients; /registry/facilities; /registry/facilities/[id]; /registry/facility-lifecycle; /registry/intake; /registry/locality-review; /registry/mvumo; /registry/products; /registry/products/[id]; /registry/provider-council/council-workspace; /registry/provider-council/self-service; /registry/providers; /registry/providers/[id]; /registry/providers/verification; /registry/terminology; /registry/terminology/[id]; /registry/trust","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","registry records; reconciliation queues","registry.*","registry admin RBAC","registry audit mandatory","COMPLETED","partial","council import queue thin","","health-id-issuance; provider-registry-onboarding","Registry admin reconciles record with full audit","ADMINISTRATIVE_HEALTH","IDENTITY","transaction-complete"
"integration-sync-replay","Integration / Sync / Replay","integration-system","integration-hub","Integration message / replay job","external system or edge node","/developer","PENDING_SYNC","receive → validate → route → process → replay on failure","integration-hub; connector-fhir-adapter; fhir-gateway-service; offline-sync-service; experience-bff","/internal/v1/integration-hub/*, /internal/v1/fhir/*, /internal/v1/extensions/*","/admin/integration-status; /admin/integration-templates; /developer; /developer/api-catalog; /developer/clients; /developer/sandbox","","integration routes; dead letters","integration.*","integration credentials; FHIR gateway authz","integration audit","COMPLETED","partial","adapter template admin thin","","device-system-event; offline-clinical-queue","Integration message processed or dead-lettered with replay","ADMINISTRATIVE_HEALTH","REPORTING_ANALYTICS_AUDIT","transaction-complete"
"device-system-event","Device / System Event Journey","device","iot-ingestion-service","Device event / telemetry","IoT, card printer, edge node","system ingress (no UI)","INITIATED","ingest → validate → route → store → alert","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","/admin; /admin/audit; /admin/audit/[id]; /admin/beds; /admin/break-glass; /admin/clinical-curation; /admin/consent; /admin/data-export; /admin/data-governance; /admin/devices; /admin/federation; /admin/integration-status; /admin/integration-templates; /admin/keys; /admin/notifications/templates; /admin/policies; /admin/queues; /admin/roles; /admin/sidecar-retirement; /admin/system-monitor; /admin/tenants; /admin/users; /admin/users/[id]; /operations; /operations/assets; /operations/butano; /operations/dispatch; /operations/equipment; /operations/facility-operations; /operations/facility-operations/district-view; /operations/facility-operations/patient-flow; /operations/facility-operations/resources; /operations/vito; /operations/vito/biometrics; /operations/vito/cards; /operations/vito/cards/pickup; /operations/vito/dedup; /operations/vito/internal-search; /operations/vito/issuance; /operations/vito/issuance/[requestId]; /operations/vito/match; /operations/vito/patient-shares; /operations/vito/print; /operations/vito/recovery; /operations/vito/registration; /operations/vito/registration/new; /operations/vito/registry-admin; /operations/workflows","","device events; telemetry","device.*","device registration; mTLS","device event audit","COMPLETED","partial","device admin UX backend-only","ops admin surface only (by design)","health-id-issuance; integration-sync-replay","Device event ingested and auditable","ADMINISTRATIVE_HEALTH","RECEIVE_TRIGGER","transaction-complete"
"health-id-issuance","Health ID Issuance & Card Ops","registry-administrator","vito-service","Health ID + physical card","registration office / VITO ops","/operations/vito","IDENTITY_PENDING","verify identity → issue ID → print card → pickup verify","vito-service; card-print-agent; share-slip-service; experience-bff","/internal/v1/vito/*, /v1/cards, /v1/print","/id-services; /operations/vito; /operations/vito/biometrics; /operations/vito/cards; /operations/vito/cards/pickup; /operations/vito/dedup; /operations/vito/internal-search; /operations/vito/issuance; /operations/vito/issuance/[requestId]; /operations/vito/match; /operations/vito/patient-shares; /operations/vito/print; /operations/vito/recovery; /operations/vito/registration; /operations/vito/registration/new; /operations/vito/registry-admin","apps/mobile/citizen-app/src/screens/personal/HealthIdSection.tsx","identity issuance; card records","identity.issued","issuance authz; biometric verify","issuance audit","IDENTITY_RESOLVED","partial","pickup verify BFF routes missing","","citizen-onboarding; registry-administration","Health ID issued, card printed, pickup verified","ADMINISTRATIVE_HEALTH","IDENTITY","transaction-complete"
"marketplace-order","Marketplace Order","citizen","msika-flow-service","Order ID","citizen marketplace","/marketplace","INITIATED","browse → cart → order → pay → fulfil","msika-flow-service; msika-service; mushe-wallet-service; experience-bff","/internal/v1/marketplace/*, /internal/v1/commerce/*","/marketplace; /marketplace/bookings; /marketplace/cart; /marketplace/catalog; /marketplace/ops; /marketplace/orders; /marketplace/orders/[id]; /marketplace/pickup; /marketplace/substitutions; /marketplace/vendor; /marketplace/vendor/orders; /marketplace/vendors","apps/mobile/citizen-app/src/screens/marketplace/CartScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/FundoLearningScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/HealthOsAppsScreen.tsx; apps/mobile/citizen-app/src/screens/marketplace/MarketplaceScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiOrdersScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx; apps/mobile/provider-app/src/screens/provider/MarketplaceOpsScreen.tsx","orders; payment intents","core.transaction.events","commerce authz","order audit","COMPLETED","partial","order list routes 501 on some paths","booking list unavailable","wallet-payment; dispatch-delivery","Citizen places order and tracks fulfilment","MARKETPLACE","SERVICE_SELECTION","backend-partial"
"wellness-journey","Wellness & Lifestyle Journey","citizen","wellness-service","Wellness activity / journey record","consumer wellness pillar","/wellness","INITIATED","discover → enrol → track → coach → continue","wellness-service; simba-service; guidance-service; experience-bff","/internal/v1/wellness/*, /internal/v1/mobile/citizen/wellness/*","/wellness; /wellness/activity; /wellness/challenges; /wellness/clubs; /wellness/coaching; /wellness/community; /wellness/connect; /wellness/diet; /wellness/goals; /wellness/programs; /wellness/routes; /wellness/screenings; /wellness/sleep","apps/mobile/citizen-app/src/screens/personal/WellnessSection.tsx","wellness journeys; activities","wellness.*","citizen scope; minimal friction","wellness participation audit","FOLLOW_UP_ACTIVE","partial","","","citizen-monitoring; fundo-learning","Citizen tracks wellness activity with real backend","WELLNESS","ACCESS_SERVICE","transaction-complete"
"social-community","Social / Community / Timeline","citizen","community-service","Post / community membership","social timeline","/social","INITIATED","feed → compose → publish → engage → moderate","community-service; llm-orchestration-service; experience-bff","/internal/v1/social/*, /internal/v1/mobile/citizen/social/*","/communities; /communities/[id]; /social; /social/drafts; /social/moderation; /social/saved","apps/mobile/citizen-app/src/screens/madi/DonorFeedbackScreen.tsx; apps/mobile/citizen-app/src/screens/social/ClubsScreen.tsx; apps/mobile/citizen-app/src/screens/social/CommunitiesScreen.tsx; apps/mobile/citizen-app/src/screens/social/CrowdfundingScreen.tsx; apps/mobile/citizen-app/src/screens/social/PagesScreen.tsx; apps/mobile/citizen-app/src/screens/social/ProfessionalPagesScreen.tsx; apps/mobile/citizen-app/src/screens/social/SocialFeedScreen.tsx; apps/mobile/citizen-app/src/screens/social/SocialHubScreen.tsx; apps/mobile/citizen-app/src/screens/social/TimelineComposer.tsx; apps/mobile/provider-app/src/screens/provider/ActivityFeedScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProviderSocialScreen.tsx","social posts; communities","social.*","content policy; authz","social moderation audit","COMPLETED","wired","","public health alerts placeholder in rail","notification-comms; public-health-outreach","Citizen posts to feed with real BFF backing","WELLNESS","ACCESS_SERVICE","backend-ready-but-frontend-incomplete"
"public-health-outreach","Public Health / CHW Outreach","community-health-worker","community-service","Outreach visit record","field outreach mode","/public-health","IN_SERVICE","household list → visit → screen → follow-up","community-service; surveillance-service; campaigns-service; indawo-service; experience-bff","/internal/v1/public-health/*, /internal/v1/community/*","/public-health; /public-health/campaigns; /public-health/site-registry; /public-health/site-registry/[siteId]; /public-health/surveillance","apps/mobile/citizen-app/src/screens/publicHealth/PublicHealthScreen.tsx; apps/mobile/provider-app/src/screens/outreach/FollowUpScreen.tsx; apps/mobile/provider-app/src/screens/outreach/HouseholdListScreen.tsx; apps/mobile/provider-app/src/screens/outreach/OutreachDashboardScreen.tsx; apps/mobile/provider-app/src/screens/outreach/ScreeningScreen.tsx; apps/mobile/provider-app/src/screens/provider/PublicHealthFieldTasksScreen.tsx","outreach visits; screening data","campaigns-outbound","CHW role; outreach authz","field visit audit","COMPLETED","partial","","field ops mobile thinner than web","surveillance-outbreak; reporting-dashboard","CHW records outreach visit on mobile","COMMUNITY_OUTREACH","ENCOUNTER_OR_DELIVERY","mobile-missing"
"crvs-ubomi","Civil Registration (UBOMI / CRVS)","registry-administrator","ubomi-service","Vital event record","birth/death/marriage registration","/registry","DRAFT","capture event → verify → register → certificate","ubomi-service; vito-service; experience-bff","/internal/v1/ubomi/*","/registry; /registry-admin; /registry/clients; /registry/facilities; /registry/facilities/[id]; /registry/facility-lifecycle; /registry/intake; /registry/locality-review; /registry/mvumo; /registry/products; /registry/products/[id]; /registry/provider-council/council-workspace; /registry/provider-council/self-service; /registry/providers; /registry/providers/[id]; /registry/providers/verification; /registry/terminology; /registry/terminology/[id]; /registry/trust; /ubomi","","vital events; certificates","ubomi.*","CRVS authz","vital event audit","COMPLETED","partial","","mobile CRVS parity missing","registry-administration; citizen-onboarding","Vital event registered with certificate issuance","ADMINISTRATIVE_HEALTH","RECORD_CONTRIBUTION","mobile-missing"
"coverage-enrollment","Coverage Enrollment","citizen","coverage-service","Coverage plan / member enrollment","payer operations","/coverage","COVERAGE_CHECK_PENDING","eligibility → enroll → confirm → use at service","coverage-service; experience-bff","/internal/v1/coverage/*","/coverage","apps/mobile/citizen-app/src/screens/personal/CoverageSection.tsx","coverage plans; member status","coverage.*","coverage authz","enrollment audit","COVERAGE_CONFIRMED","partial","contracting surfaces bounded","intelligence surfaces partial","payment-billing-claim","Citizen enrolls in coverage plan","ADMINISTRATIVE_HEALTH","COST_AND_COVERAGE","transaction-complete"
"wallet-payment","Wallet Payment","citizen","mushe-wallet-service","Wallet transaction","personal finance / checkout","/wallet","PRE_SERVICE_PAYMENT_PENDING","fund wallet → pay → receipt → reconcile","mushe-wallet-service; mushex-service; experience-bff","/internal/v1/wallet/*","/wallet; /wallet/cards; /wallet/deposit; /wallet/merchant; /wallet/send; /wallet/transactions","apps/mobile/citizen-app/src/screens/personal/WalletSection.tsx","wallet balance; payments","wallet.payment.*","wallet authz; payment rail","payment audit","PRE_SERVICE_PAYMENT_COMPLETED","wired","","","marketplace-order; payment-billing-claim","Citizen pays from wallet with typed fail-close","MARKETPLACE","FINANCIAL_SETTLEMENT","transaction-complete"
"offline-clinical-queue","Offline Clinical Queue","provider","offline-sync-service","Offline queue item","offline edge; provider offline mode","mobile offline mode","PENDING_SYNC","capture offline → queue locally → sync → reconcile conflicts","offline-sync-service; offline-edge-service; pct-service; experience-bff","/internal/v1/mobile/provider/offline/*","/operations; /operations/assets; /operations/butano; /operations/dispatch; /operations/equipment; /operations/facility-operations; /operations/facility-operations/district-view; /operations/facility-operations/patient-flow; /operations/facility-operations/resources; /operations/vito; /operations/vito/biometrics; /operations/vito/cards; /operations/vito/cards/pickup; /operations/vito/dedup; /operations/vito/internal-search; /operations/vito/issuance; /operations/vito/issuance/[requestId]; /operations/vito/match; /operations/vito/patient-shares; /operations/vito/print; /operations/vito/recovery; /operations/vito/registration; /operations/vito/registration/new; /operations/vito/registry-admin; /operations/workflows","apps/mobile/provider-app/src/screens/offline/BreakGlassScreen.tsx; apps/mobile/provider-app/src/screens/offline/ConflictReviewScreen.tsx; apps/mobile/provider-app/src/screens/offline/LocalQueueScreen.tsx; apps/mobile/provider-app/src/screens/offline/OfflineDashboardScreen.tsx","offline queue; sync state","offline.sync.*","offline trust envelope","offline action audit","COMPLETED","partial","federation depth","offline conflict UX","provider-patient-encounter; integration-sync-replay","Provider works offline, syncs without data loss","FACILITY_WALK_IN","ENCOUNTER_OR_DELIVERY","backend-partial"
"emergency-encounter","Emergency / ED Encounter","provider","pct-service","Emergency encounter","ED/casualty; break-glass possible","/clinical/emergency","EMERGENCY_OVERRIDE","triage → treat → stabilize → admit or discharge","pct-service; butano-service; inpatient-service; tshepo-authz-service; experience-bff","/internal/v1/encounters/*, /v1/break-glass","/clinical/emergency; /ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals","apps/mobile/citizen-app/src/screens/personal/EmergencySOSSection.tsx; apps/mobile/provider-app/src/screens/provider/TriageScreen.tsx","emergency encounter; triage","core.transaction.events","break-glass; emergency override","break-glass audit mandatory","COMPLETED","partial","","","inpatient-admission; provider-patient-encounter","Emergency encounter with break-glass audit if used","EMERGENCY","ENCOUNTER_OR_DELIVERY","transaction-complete"
"core-transaction-orchestration","Core Transaction Orchestration Shell","platform","experience-bff","Core Transaction ID","unified transaction spine","/core-transaction","INITIATED","create tx → timeline → next-actions → journey views → complete","experience-bff; workflow-service; pct-service; costing-engine-service","/internal/v1/core-transactions/*, /experience/core-transactions/*","/client-journey; /core-transaction; /platform-journey; /provider-workspace","","transaction orchestration state","core.transaction.events","full trust stack","transaction audit chain","COMPLETED","wired","","","provider-patient-encounter; payment-billing-claim","Core transaction shell shows live timeline from BFF","FACILITY_WALK_IN","MANAGE_STATE_MACHINE","transaction-complete"
"surveillance-outbreak","Surveillance / Outbreak Response","health-information-officer","surveillance-service","Outbreak signal / case","public health intelligence","/public-health","INITIATED","detect signal → investigate → campaign → report","surveillance-service; campaigns-service; ndila-service; experience-bff","/internal/v1/public-health/*","/ndila; /public-health; /public-health/campaigns; /public-health/site-registry; /public-health/site-registry/[siteId]; /public-health/surveillance","apps/mobile/citizen-app/src/screens/publicHealth/PublicHealthScreen.tsx; apps/mobile/provider-app/src/screens/provider/PublicHealthFieldTasksScreen.tsx","surveillance signals; campaigns","campaigns-outbound; ndila-events","public health RBAC","surveillance audit","COMPLETED","partial","","Ndila map dashboards incomplete","public-health-outreach; reporting-dashboard","Outbreak signal investigated with campaign linkage","COMMUNITY_OUTREACH","REPORTING_ANALYTICS_AUDIT","backend-ready-but-frontend-incomplete"
"ai-guidance-nompilo","AI Guidance / Nompilo Assist","citizen","guidance-service","Guidance session / suggestion","in-flow intelligent assist","/ask","INITIATED","ask → classify context → guide → handoff if needed","guidance-service; llm-orchestration-service; search-service; experience-bff","/internal/v1/guidance/*, /internal/v1/assistant/*, /internal/v1/search*","/ask; /guidance; /guidance/education; /guidance/reminders; /nhume; /nhume/analytics; /nhume/autonomous; /nhume/courier; /nhume/couriers; /nhume/couriers/[courierId]; /nhume/custody/[deliveryId]; /nhume/dashboard; /nhume/deliveries; /nhume/deliveries/[deliveryId]; /nhume/deliveries/new; /nhume/dispatcher; /nhume/fleet; /nhume/fleet/[assetId]; /nhume/map; /nhume/policies; /nhume/track/[deliveryId]","apps/mobile/citizen-app/src/screens/NompiloAssistantScreen.tsx; apps/mobile/provider-app/src/screens/NompiloAssistantScreen.tsx","guidance sessions; search index","guidance.*","assist must not override clinical judgement","Nompilo assist audit","COMPLETED","partial","","route context not always passed to guidance BFF","provider-patient-encounter; wellness-journey","Nompilo explains next step with route context","ADMINISTRATIVE_HEALTH","COMPOSE_EXPERIENCE_VIEW","backend-ready-but-frontend-incomplete"
"credential-verification","Credential Verification","facility-administrator","credential-verification-service","Credential verification record","provider licensure check","/verify","INITIATED","submit credential → verify → record → notify","credential-verification-service; varapi-service; experience-bff","/internal/v1/credentials/*, /internal/v1/verify/*","/verify/credential","","verification records","credential.verified","verification authz","verification audit","COMPLETED","partial","","","provider-registry-onboarding; fundo-learning","Credential verified and reflected in provider standing","ADMINISTRATIVE_HEALTH","TRUST_AND_CONSENT","transaction-complete"
"provider-registry-onboarding","Provider Registry Onboarding","registry-administrator","varapi-service","Provider ID + licensure","provider registry","/registry/providers","DRAFT","register → council verify → privilege assign → activate","varapi-service; credential-verification-service; experience-bff","/internal/v1/registry/*, /v1/internal/providers/*","/registry; /registry-admin; /registry/clients; /registry/facilities; /registry/facilities/[id]; /registry/facility-lifecycle; /registry/intake; /registry/locality-review; /registry/mvumo; /registry/products; /registry/products/[id]; /registry/provider-council/council-workspace; /registry/provider-council/self-service; /registry/providers; /registry/providers/[id]; /registry/providers/verification; /registry/terminology; /registry/terminology/[id]; /registry/trust","apps/mobile/citizen-app/src/screens/social/ProfessionalPagesScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalChannelsHubScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalProfileScreen.tsx; apps/mobile/provider-app/src/screens/provider/ProfessionalSettingsHubScreen.tsx","provider registry; licensure","provider.registered","registry admin RBAC","provider registry audit","IDENTITY_RESOLVED","partial","council import queue","reconciliation queue thin","provider-login; credential-verification","Provider onboarded with valid licensure","ADMINISTRATIVE_HEALTH","IDENTITY","backend-partial"
"citizen-monitoring","Citizen Remote Monitoring","citizen","wellness-service","Monitoring observation","home monitoring pillar","/monitoring","FOLLOW_UP_ACTIVE","pair device → record obs → alert → clinician review","wellness-service; iot-ingestion-service; notification-service; experience-bff","/internal/v1/wellness/*, /internal/v1/mobile/citizen/monitoring/*","/monitoring; /monitoring/alerts; /monitoring/care-plans; /monitoring/devices; /monitoring/provider-dashboard; /monitoring/readings","apps/mobile/citizen-app/src/screens/personal/MonitoringSection.tsx","observations; alerts","wellness.monitoring.*","citizen scope","monitoring audit","FOLLOW_UP_ACTIVE","partial","","","wellness-journey; chronic-care","Citizen records monitoring obs visible to care team","CHRONIC_CARE","FOLLOW_UP_CONTINUITY","transaction-complete"
"chronic-care","Chronic Care Management","provider","pct-service","Care plan / chronic encounter","longitudinal chronic disease","/ehr/[patientId]","FOLLOW_UP_ACTIVE","care plan → visits → meds → monitoring → review","pct-service; pharmacy-service; butano-service; wellness-service; experience-bff","/internal/v1/encounters/*, /internal/v1/pharmacy/*","/caregiving; /caregiving/delegation; /caregiving/dependants; /caregiving/notifications; /caregiving/tasks; /ehr/[patientId]; /ehr/[patientId]/advance-directives; /ehr/[patientId]/allergies; /ehr/[patientId]/assessments; /ehr/[patientId]/care-plans; /ehr/[patientId]/care-team; /ehr/[patientId]/charts; /ehr/[patientId]/conditions; /ehr/[patientId]/consults; /ehr/[patientId]/discharge; /ehr/[patientId]/documents; /ehr/[patientId]/encounter/[encounterId]; /ehr/[patientId]/encounters; /ehr/[patientId]/family-history; /ehr/[patientId]/functional-status; /ehr/[patientId]/goals; /ehr/[patientId]/growth-chart; /ehr/[patientId]/history; /ehr/[patientId]/imaging; /ehr/[patientId]/imaging/viewer; /ehr/[patientId]/immunizations; /ehr/[patientId]/ips; /ehr/[patientId]/maternity; /ehr/[patientId]/medications; /ehr/[patientId]/notes; /ehr/[patientId]/orders; /ehr/[patientId]/preferences/communications; /ehr/[patientId]/procedures; /ehr/[patientId]/referrals; /ehr/[patientId]/results; /ehr/[patientId]/social-history; /ehr/[patientId]/summary; /ehr/[patientId]/teleconsults; /ehr/[patientId]/timeline; /ehr/[patientId]/vitals","apps/mobile/citizen-app/src/screens/caregiving/DelegationSection.tsx","care plans; encounters; meds","core.transaction.events","chronic care authz","care plan audit","FOLLOW_UP_ACTIVE","partial","","","citizen-monitoring; prescription-dispense","Chronic care plan active with follow-up scheduling","CHRONIC_CARE","FOLLOW_UP_CONTINUITY","transaction-complete"
"blood-donation","Blood Donation & Donor Engagement","citizen","madi-service","Donor ID + donation drive registration","donor hub / mobile citizen","/madi/donor","DONOR_REGISTERED","register → pre-screen → drive booking → screen → donate → feedback","madi-service; ndila-service; llm-orchestration-service; experience-bff","/internal/v1/madi/donors/*, /internal/v1/madi/drives/*, /internal/v1/mobile/citizen/madi/*","/madi/donor; /madi/donor/drives; /madi/donor/feedback; /madi/donor/history; /madi/donor/preferences; /madi/donor/profile; /madi/donor/register; /madi/donor/screening","apps/mobile/citizen-app/src/screens/madi/BecomeDonorScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonationDrivesScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorFeedbackScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorHistoryScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorProfileScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorScreeningScreen.tsx; apps/mobile/citizen-app/src/screens/madi/MadiDonorHubScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiDriveCaptureScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiOrdersScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiReactionReportScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiTransfusionScreen.tsx","donor profiles; screening; drive registrations","madi.donor.*; madi.drive.*","citizen scope; donor consent","donor screening audit","DONATION_RECORDED","wired","","","blood-order; transfusion-episode","Citizen registers as donor, completes pre-screening, and books a drive","BLOOD_DONATION","COMMUNITY_WELLNESS","transaction-complete"
"blood-order","Blood Order & Crossmatch","provider","madi-service","Blood Order ID","facility blood bank workbench","/madi/orders","ORDER_DRAFT","create → submit → sample → crossmatch → reserve → issue","madi-service; oros-service; experience-bff","/internal/v1/madi/orders/*","/madi/orders; /madi/orders/[orderId]","apps/mobile/citizen-app/src/screens/madi/BecomeDonorScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonationDrivesScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorFeedbackScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorHistoryScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorProfileScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorScreeningScreen.tsx; apps/mobile/citizen-app/src/screens/madi/MadiDonorHubScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiDriveCaptureScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiOrdersScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiReactionReportScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiTransfusionScreen.tsx; apps/mobile/provider-app/src/screens/provider/LabOrderPanel.tsx","orders; crossmatch; unit reservation","madi.order.*","facility scope; prescribing authz","order lifecycle audit","ORDER_ISSUED","wired","","","transfusion-episode; provider-patient-encounter","Provider creates blood order and issues matched unit","BLOOD_ORDER","ORDERS_AND_ANCILLARY","transaction-complete"
"transfusion-episode","Transfusion Episode & Bedside Verify","provider","madi-service","Transfusion Episode ID","bedside transfusion / provider mobile","/madi/transfusion","EPISODE_STARTED","start → pre-verify patient+unit → observe → complete","madi-service; vito-service; experience-bff","/internal/v1/madi/transfusions/*, /internal/v1/mobile/provider/madi/*","/madi/transfusion; /madi/transfusion/[episodeId]","apps/mobile/citizen-app/src/screens/madi/BecomeDonorScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonationDrivesScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorFeedbackScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorHistoryScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorProfileScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorScreeningScreen.tsx; apps/mobile/citizen-app/src/screens/madi/MadiDonorHubScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiDriveCaptureScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiOrdersScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiReactionReportScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiTransfusionScreen.tsx","episodes; observations; verify events","madi.transfusion.*","bedside verify; patient match","transfusion verify audit","TRANSFUSION_COMPLETED","wired","","","blood-order; haemovigilance-report","Provider pre-verifies patient and unit before transfusion observations","TRANSFUSION","CLINICAL_EXECUTION","transaction-complete"
"haemovigilance-report","Haemovigilance Report & Investigation","provider","madi-service","Adverse Reaction ID + Case ID","facility + national haemovigilance dashboard","/madi/haemovigilance","REACTION_REPORTED","report reaction → open case → investigate → close → national roll-up","madi-service; nhume-service; surveillance-service; experience-bff","/internal/v1/madi/haemovigilance/*","/madi/haemovigilance; /madi/haemovigilance/national","apps/mobile/citizen-app/src/screens/madi/BecomeDonorScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonationDrivesScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorFeedbackScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorHistoryScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorProfileScreen.tsx; apps/mobile/citizen-app/src/screens/madi/DonorScreeningScreen.tsx; apps/mobile/citizen-app/src/screens/madi/MadiDonorHubScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiDriveCaptureScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiOrdersScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiReactionReportScreen.tsx; apps/mobile/provider-app/src/screens/madi/MadiTransfusionScreen.tsx","reactions; cases; national aggregates","madi.haemovigilance.*","facility + national scope","adverse event audit","CASE_CLOSED","wired","","national dashboard web-only by policy","transfusion-episode","Adverse reaction reported and visible on facility and national dashboards","HAEMOVIGILANCE","SAFETY_SURVEILLANCE","transaction-complete"
