surfaceType,surfaceId,actorType,actorRole,context,intent,transaction,journeyId,servicesInvolved,apisInvolved,registriesInvolved,trustSecurityChecks,dataRecords,eventTopics,uiSurface,mobileSurface,nompiloSupport,relatedFeatures,nextActions,completionCriteria,doctrineCompliance,orchestrationStatus,sourcePath,apiClientHook
"frontend-route","/ehr/[patientId]/imaging","provider","clinical-staff","facility queue or EHR entry","Imaging","FACILITY_WALK_IN:Patient Search & Selection","patient-search-selection","vito-service; experience-bff; pct-service","/internal/v1/vito/*, /internal/v1/identity/*, /internal/v1/queue","vito-service","purpose-of-use; subject relationship; consent","client registry read; queue item link","patient.selected","/ehr/[patientId]/imaging","","expected","queue-walk-in; provider-patient-encounter","open chart or queue item","Provider searches patient, selects, opens chart with correct CPID","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/ehr/[patientId]/imaging/page.tsx",""
"frontend-route","/ehr/[patientId]/imaging/viewer","provider","clinical-staff","facility queue or EHR entry","DICOM Viewer","FACILITY_WALK_IN:Patient Search & Selection","patient-search-selection","vito-service; experience-bff; pct-service","/internal/v1/vito/*, /internal/v1/identity/*, /internal/v1/queue","vito-service","purpose-of-use; subject relationship; consent","client registry read; queue item link","patient.selected","/ehr/[patientId]/imaging/viewer","","expected","queue-walk-in; provider-patient-encounter","open chart or queue item","Provider searches patient, selects, opens chart with correct CPID","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/ehr/[patientId]/imaging/viewer/page.tsx",""
"frontend-route","/admin","device","platform-admin","IoT, card printer, edge node","Administration","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/users","device","platform-admin","IoT, card printer, edge node","User Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/users","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/users/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/users/[id]","device","platform-admin","IoT, card printer, edge node","User Details","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/users/[id]","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/users/[id]/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/roles","device","platform-admin","IoT, card printer, edge node","Role Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/roles","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/roles/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/policies","device","platform-admin","IoT, card printer, edge node","Policy Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/policies","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/policies/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/audit","device","platform-admin","IoT, card printer, edge node","Audit Trail","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/audit","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/audit/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/audit/[id]","device","platform-admin","IoT, card printer, edge node","Audit Entry","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/audit/[id]","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/audit/[id]/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/consent","device","platform-admin","IoT, card printer, edge node","Consent Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/consent","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/consent/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/devices","device","platform-admin","IoT, card printer, edge node","Device Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/devices","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/devices/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/keys","device","platform-admin","IoT, card printer, edge node","Key Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/keys","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/keys/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/federation","device","platform-admin","IoT, card printer, edge node","Federation","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/federation","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/federation/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/tenants","device","platform-admin","IoT, card printer, edge node","Tenant Management","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/tenants","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/tenants/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/break-glass","device","platform-admin","IoT, card printer, edge node","Break Glass Log","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/break-glass","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/break-glass/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/beds","device","platform-admin","IoT, card printer, edge node","Bed & Ward Admin","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/beds","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/beds/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/queues","device","platform-admin","IoT, card printer, edge node","Queue Configuration","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/queues","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/queues/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/data-export","device","platform-admin","IoT, card printer, edge node","Data Export","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/data-export","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/data-export/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/data-governance","device","platform-admin","IoT, card printer, edge node","Data Governance","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/data-governance","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/data-governance/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/clinical-curation","device","platform-admin","IoT, card printer, edge node","Clinical Knowledge Curation","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/clinical-curation","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/clinical-curation/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/system-monitor","device","platform-admin","IoT, card printer, edge node","System Monitor","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/system-monitor","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/system-monitor/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/integration-status","integration-system","platform-admin","external system or edge node","Integration Status","ADMINISTRATIVE_HEALTH:Integration / Sync / Replay","integration-sync-replay","integration-hub; connector-fhir-adapter; fhir-gateway-service; offline-sync-service; experience-bff","/internal/v1/integration-hub/*, /internal/v1/fhir/*, /internal/v1/extensions/*","","integration credentials; FHIR gateway authz","integration routes; dead letters","integration.*","/admin/integration-status","","expected","device-system-event; offline-clinical-queue","replay on failure","Integration message processed or dead-lettered with replay","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/integration-status/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/notifications/templates","device","platform-admin","IoT, card printer, edge node","Notification Templates","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/notifications/templates","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/notifications/templates/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/integration-templates","integration-system","platform-admin","external system or edge node","Integration Templates","ADMINISTRATIVE_HEALTH:Integration / Sync / Replay","integration-sync-replay","integration-hub; connector-fhir-adapter; fhir-gateway-service; offline-sync-service; experience-bff","/internal/v1/integration-hub/*, /internal/v1/fhir/*, /internal/v1/extensions/*","","integration credentials; FHIR gateway authz","integration routes; dead letters","integration.*","/admin/integration-templates","","expected","device-system-event; offline-clinical-queue","replay on failure","Integration message processed or dead-lettered with replay","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/integration-templates/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/admin/sidecar-retirement","device","platform-admin","IoT, card printer, edge node","Sidecar Retirement","ADMINISTRATIVE_HEALTH:Device / System Event Journey","device-system-event","iot-ingestion-service; card-print-agent; offline-edge-service; tshepo-authz-service","/v1/devices, device agent protocols","","device registration; mTLS","device events; telemetry","device.*","/admin/sidecar-retirement","","expected","health-id-issuance; integration-sync-replay","alert","Device event ingested and auditable","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/admin/sidecar-retirement/page.tsx","hooks/queries/useAdminObservability.ts"
"frontend-route","/dags","system-administrator","platform-admin","governance","Data Access Governance","","","experience-bff","","","role","","","/dags","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/dags/page.tsx",""
"frontend-route","/dags/policy","system-administrator","platform-admin","governance","Data Access Policy","","","experience-bff","","","role","","","/dags/policy","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/dags/policy/page.tsx",""
"frontend-route","/registry-admin","registry-administrator","platform-admin","national registry ops","Registry Administration","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry-admin","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry-admin/page.tsx",""
"frontend-route","/organization-admin","system-administrator","platform-admin","governance","Organization Administration","","","experience-bff","","","role","","","/organization-admin","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/organization-admin/page.tsx",""
"frontend-route","/organization-admin/facility","system-administrator","platform-admin","governance","Facility Administration","","","experience-bff","","","role","","","/organization-admin/facility","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/organization-admin/facility/page.tsx",""
"frontend-route","/organization-admin/staffing","system-administrator","platform-admin","governance","Staffing & Scheduling","","","experience-bff","","","role","","","/organization-admin/staffing","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/organization-admin/staffing/page.tsx",""
"frontend-route","/organization-admin/governance","system-administrator","platform-admin","governance","Organisations & governance","","","experience-bff","","","role","","","/organization-admin/governance","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/organization-admin/governance/page.tsx",""
"frontend-route","/organization-admin/governance/[id]","system-administrator","platform-admin","governance","Organisation detail","","","experience-bff","","","role","","","/organization-admin/governance/[id]","","optional","","","","unmapped","isolated-page","ui/one-ui-shell/src/app/organization-admin/governance/[id]/page.tsx",""
"frontend-route","/registry/clients","registry-administrator","registry-ops","national registry ops","Client Registry","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/clients","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/clients/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/trust","registry-administrator","registry-ops","national registry ops","Trust & Federation","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/trust","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/trust/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/mvumo","registry-administrator","registry-ops","national registry ops","Mvumo â€” Digital Consent","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/mvumo","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/mvumo/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry","registry-administrator","registry-ops","national registry ops","Registry Hub","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/intake","registry-administrator","registry-ops","national registry ops","Registry Intake","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/intake","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/intake/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/locality-review","registry-administrator","registry-ops","national registry ops","Locality gazetteer review","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/locality-review","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/locality-review/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/facility-lifecycle","registry-administrator","registry-ops","national registry ops","Facility regulatory lifecycle","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/facility-lifecycle","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/facility-lifecycle/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/providers","registry-administrator","registry-ops","national registry ops","Provider Registry","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/providers","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/providers/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/providers/verification","registry-administrator","registry-ops","national registry ops","Provider Verification Queue","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/providers/verification","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/providers/verification/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/providers/[id]","registry-administrator","registry-ops","national registry ops","Provider Profile","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/providers/[id]","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/providers/[id]/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/provider-council/self-service","registry-administrator","registry-ops","national registry ops","Council self-service","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/provider-council/self-service","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/provider-council/self-service/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/provider-council/council-workspace","registry-administrator","registry-ops","national registry ops","Council operations","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/provider-council/council-workspace","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/provider-council/council-workspace/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/facilities","registry-administrator","registry-ops","national registry ops","Facility Registry","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/facilities","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/facilities/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/facilities/[id]","registry-administrator","registry-ops","national registry ops","Facility Profile","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/facilities/[id]","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/facilities/[id]/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/terminology","registry-administrator","registry-ops","national registry ops","Terminology Browser","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/terminology","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/terminology/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/terminology/[id]","registry-administrator","registry-ops","national registry ops","Concept Details","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/terminology/[id]","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/terminology/[id]/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/products","registry-administrator","registry-ops","national registry ops","Product Registry","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/products","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/products/page.tsx","hooks/queries/useClientRegistry.ts"
"frontend-route","/registry/products/[id]","registry-administrator","registry-ops","national registry ops","Product Details","ADMINISTRATIVE_HEALTH:Registry Administration","registry-administration","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service; experience-bff","/internal/v1/registry/*, /internal/v1/vito/*","vito-service; varapi-service; tuso-service; zibo-service; product-registry-service","registry admin RBAC","registry records; reconciliation queues","registry.*","/registry/products/[id]","apps/mobile/provider-app/src/screens/provider/AdminRegistryHubScreen.tsx","expected","health-id-issuance; provider-registry-onboarding","audit","Registry admin reconciles record with full audit","mapped-to-core-transaction","missing-journey","ui/one-ui-shell/src/app/registry/products/[id]/page.tsx","hooks/queries/useClientRegistry.ts"
